,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
27,1713795736.9267125,-0.24040441843764848,-0.02105855019910553,-2.298222147631419,1.2711231064106536e-06,-4.254709258118793e-06,-5.7726738964582795e-06,0.02615285221662573,-0.08737074379732192,2.600772830307993e-06
28,1713795736.9517124,-0.25065006534611217,-0.019171740265417906,-2.2982640574766373,1.3334728885020745e-06,-4.462184316458145e-06,-5.637642056349171e-06,0.027393682297120733,-0.09149863980943096,2.71453899821628e-06
29,1713795736.9767125,-0.2608959143192752,-0.017284899342767404,-2.2983161847179736,1.3950964031972293e-06,-4.667141596812266e-06,-5.9223875830126e-06,0.028617960344626027,-0.09556948758689063,2.619671181560911e-06
30,1713795737.0017126,-0.2711417711599349,-0.015398055907938892,-2.298384817683656,8.96696023046286e-07,-4.865022081348633e-06,-6.754836842808464e-06,0.006457722149399367,-0.09940879496696084,2.253045226836025e-06
31,1713795737.026713,-0.2813881703237463,-0.0135112070540847,-2.2984530787697612,-1.9856827482333042e-07,-5.057784806155978e-06,-7.3527306624927e-06,-0.01522488977712964,-0.10328422795135858,2.0185213531196587e-06
32,1713795737.0517128,-0.2907111330405431,-0.011712103793168099,-2.298513943140911,-1.2694891222835058e-06,-5.252093373768647e-06,-7.51081838762268e-06,-0.036395662658035885,-0.10719069411064938,2.023867959153052e-06
33,1713795737.0767128,-0.2890494913393432,-0.010956747953863368,-2.2985686821062004,-2.3116900977743476e-06,-5.448210049207106e-06,-7.3920519693814465e-06,-0.05702449372818492,-0.11112337272666395,2.178284523096188e-06
34,1713795737.101713,-0.28698044258782374,-0.010240102940203723,-2.2986210171040304,-3.328676980841102e-06,-5.64523228906242e-06,-7.210076707014601e-06,-0.07708518772445588,-0.11507771725875106,2.361009241397316e-06
35,1713795737.126713,-0.2848962708284756,-0.009524894127532886,-2.2986725877376286,-4.316805365077014e-06,-5.843221366754955e-06,-7.0439512022798026e-06,-0.09655524481378303,-0.11904945522770702,2.5265167019316013e-06
36,1713795737.1517131,-0.28281152435203155,-0.008809738984518754,-2.298714240534125,0.00012582128151477148,-6.041979445431042e-06,1.2993199139243738e-05,-0.11541563441590454,-0.12303458595767985,1.55687014734188e-05
37,1713795737.1767132,-0.2807264964089286,-0.00809458614324331,-2.298729828507948,0.0035078616608042925,-6.2413136001672476e-06,1.6857345867066657e-06,-0.1336503969661794,-0.12702937643383064,7.617531429325518e-06
38,1713795737.201713,-0.2786354109589539,-0.0073794335557123255,-2.2985040176351403,0.012611213422832586,-6.440982457670691e-06,0.00010022867731157563,-0.1512466473506963,-0.13103035557386727,7.307206526662191e-05
39,1713795737.2267134,-0.2765334813702522,-0.0066642812916173685,-2.2979121986878264,0.02200208468890849,-6.641066217340577e-06,-8.762197235013241e-05,-0.16819481598399932,-0.13503430712435288,-5.941843831505692e-05
40,1713795737.2517135,-0.27443060065559455,-0.005949128937044475,-2.297549807142967,0.03285788416104979,-6.841036647023575e-06,-0.00012787342003192938,-0.18448751313214415,-0.13903826159030744,-8.62647936944451e-05
41,1713795737.2767136,-0.2703560928536405,-0.010505951204911934,-2.2977620089622457,0.038546171876683584,-7.042267438444293e-06,-7.149249365640247e-05,-0.20012024381457705,-0.143039487142697,-4.296347753956497e-05
42,1713795737.3017137,-0.2661453850491564,-0.01545280447673032,-2.2983349776661917,0.04377336087344846,-7.242128900399221e-06,-0.0015776607197926,-0.2150899638679992,-0.1470354799975218,-0.0011159223436793418
