time,x_filter,y_filter,yaw_filter,x_ref,y_ref,yaw_ref
1713795764.5768178,3.7360604112598366,1.4172471312557369,0.7355508594949578,3.209195437837949,1.2390431175933174,3.0983036113235025
1713795764.6018178,3.7224376580679994,1.42710051894617,0.7354709596143976,3.1953892539541666,1.2413355939244246,3.1049389294712535
1713795764.626818,3.708833483557379,1.4369608092894934,0.7355297216649388,3.1831655449362066,1.2418120440430382,3.1062356442176102
1713795764.651818,3.6952516782029066,1.446821359452001,0.7357403877587064,3.1626653303748133,1.2428280165037429,3.1058763601028727
1713795764.6768181,3.681696103584251,1.456682017023047,0.7359929870980598,3.1516109148592992,1.2432671305324965,3.105304072968818
1713795764.7018182,3.6681192604128805,1.466542490648961,0.7360955616023249,3.136711060500967,1.244252469587728,3.105387067658441
1713795764.7268183,3.6545317321876767,1.4764030619844888,0.736297330853565,3.123011848061958,1.2453465190378337,3.1069922810589263
1713795764.7518184,3.6400948922089555,1.4810804279466427,0.7365638149582643,3.107251679177282,1.2462104435004118,3.107254901701342
1713795764.7768185,3.6236864559207196,1.4727222074007595,0.7366779073028428,3.089740622747133,1.247085424442357,3.1071001166924526
1713795764.8018186,3.6072179215263334,1.4638805277141849,0.7365103099204027,3.0730987225327393,1.248096301606689,3.1069992741114314
1713795764.8268187,3.5907307180607977,1.4550209211149494,0.7361348716245179,3.060345136729311,1.248613719782445,3.1062862495882824
1713795764.8518188,3.574236073957417,1.4461606528303617,0.735644629293733,3.0389822733088834,1.2495688661858377,3.1052030288690164
1713795764.876819,3.5577150405123086,1.4373003629706123,0.7351209247788748,3.028274319407943,1.2503225721857298,3.1056769683799366
1713795764.901819,3.5411890077085295,1.4284400751340935,0.7346953958385712,3.0147026874940672,1.2508957109969254,3.105545161962428
1713795764.926819,3.5246791735040297,1.4195797900865723,0.7346998514212103,3.0046716279831958,1.2510043450756485,3.1052506658153134
1713795764.9518192,3.509039813239782,1.4134112942751447,0.7352272196238521,2.9839705468921083,1.2521176451820013,3.1078784933753516
1713795764.9768193,3.495993837063438,1.4158835498579654,0.7358798470103526,2.969191820009495,1.25311151395646,3.109128048758476
1713795765.0018194,3.483037226765344,1.4186762956339887,0.7362381155516746,2.954737126654995,1.253725085361507,3.1081306038443417
1713795765.0268195,3.470036527336883,1.4214809046128392,0.7363111276499835,2.940467929591287,1.2548501637786715,3.107869981418144
1713795765.0518196,3.4570065997945747,1.4242860125323002,0.7362336827098735,2.9239171491268903,1.2554622425487516,3.106371308585487
1713795765.0768197,3.444064369890448,1.4270911146909282,0.7361178567459892,2.913026797978051,1.255791045476131,3.105779003538373
1713795765.1018198,3.4311719245493064,1.4298962220001317,0.7362159693086188,2.8981965212314624,1.2564119532024947,3.1060758575112786
1713795765.1268198,3.41824237882986,1.432701333750061,0.7366056391518773,2.882330025387053,1.2572022324957617,3.107358554461519
1713795765.15182,3.403899589136764,1.4332378097048124,0.737016649843467,2.8666236248947596,1.2580638902778216,3.10824080328021
1713795765.17682,3.3885165397475965,1.4320978977922336,0.7371591137854199,2.8520092911161443,1.2589369925126475,3.107643684441447
1713795765.2018201,3.3731168312454796,1.4308958046235685,0.7370560464266476,2.839990484844329,1.2595753595812085,3.1075967986390314
1713795765.2268202,3.35776470945511,1.4296914324949237,0.7367816763032302,2.8205445702703917,1.260753872498293,3.1069079201759138
1713795765.2518203,3.3424426671675094,1.4284869671509883,0.736461554527004,2.802437077457532,1.2614789674335554,3.1087558860496567
1713795765.2768204,3.3270572805613874,1.4272825022817894,0.7362622856565447,2.7893042308742673,1.2620649127056187,3.1076404717947272
1713795765.3018205,3.311592467838271,1.4260780408141842,0.7361539705810856,2.777868351733026,1.2625469851754378,3.106470893145031
1713795765.3268206,3.2961615421091452,1.424873582743398,0.7360138935994139,2.7642527936764885,1.263273176230321,3.106920749661456
1713795765.3518207,3.282236822295036,1.4235479752833233,0.7361327270663884,2.7466958330543982,1.2643416392274476,3.1086104366443377
1713795765.3768208,3.2702716264038365,1.4220628842335985,0.736170690039237,2.7315438826429714,1.2651038232283962,3.1084073130861722
1713795765.401821,3.2583575520582264,1.4205718812358274,0.7358442303778302,2.7163919322315446,1.2658660072293448,3.108204189528007
1713795765.426821,3.246440878588732,1.4190806618454026,0.735374361067897,2.701239981820118,1.2666281912302937,3.108001065969842
1713795765.451821,3.2344825540000244,1.4175894372011142,0.7350433994356683,2.686088031408691,1.2673903752312423,3.1077979424116764
1713795765.4768212,3.2225493372069236,1.416098215041572,0.7348818097076392,2.670936080997264,1.268152559232191,3.1075948188535114
1713795765.5018213,3.2106595088590124,1.4146069955656981,0.7348594278279018,2.6551547636491146,1.2688119157840376,3.1072248250845638
1713795765.5268214,3.1987632765080742,1.4131157786960291,0.7351900886417929,2.64299006432169,1.2694886995914665,3.10749093362191
1713795765.5518215,3.186959090537704,1.4121880535585385,0.7355076744014889,2.62243702525689,1.2709965295106471,3.109707705914413
1713795765.5768216,3.175333676308211,1.4122763842625998,0.7356901438417499,2.6111927862811077,1.2709026454276757,3.1083689691258414
1713795765.6018217,3.163709708868058,1.412402410096212,0.7361278059089513,2.596249845876506,1.2715423371894312,3.1088149485351773
1713795765.6268218,3.15211097084089,1.4125298357899787,0.7360764659216087,2.582069466230758,1.2721288293611277,3.1084573833245126
1713795765.6518219,3.1405521995426584,1.412657314292734,0.7355385013983533,2.565238171265881,1.2731703913652284,3.1081496596561315
1713795765.676822,3.1289681791684023,1.41278479927821,0.7349707361925923,2.5499075146994192,1.2738754446283027,3.10751682902079
1713795765.701822,3.1173781140747527,1.4129122851826559,0.7348160599076402,2.537283631038584,1.2746820948664626,3.1083018499141644
1713795765.7268221,3.1057837335624376,1.4130397455875796,0.7349460842926121,2.5202414276263254,1.275832436138101,3.1099222070834727
1713795765.7518222,3.0926846213840746,1.4101561750657543,0.735366718558159,2.5051780450074594,1.2765797217489154,3.109821834755733
1713795765.7768223,3.078835218688181,1.4056338504410402,0.7355899344103487,2.4895463918245375,1.2774112080168964,3.1091028077598035
1713795765.8018224,3.064973842624982,1.4010507507286898,0.7354895922720961,2.4729731872713896,1.2781646030672293,3.109312089470215
1713795765.8268225,3.0510884414161814,1.3964653550395494,0.7355717438091492,2.4575440483240447,1.2787200312300475,3.109519077382324
1713795765.8518226,3.0372064881477425,1.3918799649427442,0.7358250278261007,2.43855197616245,1.2796642481729257,3.1098164953792007
1713795765.8768227,3.02329888061744,1.3872945296690573,0.7358887362038047,2.4232813578607573,1.2803314861210011,3.1091261186359445
1713795765.9018228,3.0093868747512706,1.38270909587056,0.7355783047949882,2.401532832000668,1.2813888936298838,3.1085152493344683
1713795765.926823,2.9954912439642167,1.3781236636026177,0.7351833995571002,2.3899846167500747,1.2820604351310105,3.1083663281025635
1713795765.951823,2.979449339522757,1.3810535938012092,0.7350908943032081,2.3711935778006223,1.2824712156195763,3.107258100812429
1713795765.976823,2.9613056924093106,1.3911021418958562,0.7352780586753531,2.3523386543195217,1.2830873510659717,3.1061528647792427
1713795766.0018232,2.943071445316188,1.4014145326654361,0.7355219610520856,2.334845119239088,1.2840193613836062,3.1060707714774867
1713795766.0268233,2.924784219720436,1.4117367169563653,0.7357442336405657,2.3178953138801615,1.284619553488725,3.10710678641419
