,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y
4505,1713795826.3516238,2.186999412310282,1.3335703388140256,0.6443744551702919,0.730826562238816,-0.008093562350275951,0.0011139010463689133,0.10613679329276043,-0.6545390786676916
4506,1713795826.3716238,2.1850971097119776,1.3227486664475412,0.6447094279835873,0.6738073375902632,-0.008035056563139888,0.0007130058875623768,0.10237473683726661,-0.6497644058642131
4507,1713795826.3916235,2.1831641357012654,1.311820124247991,0.6452965028673302,0.6924409054984108,-0.007973245208056805,0.004909384490430916,0.09927222010224883,-0.6447414132722096
4508,1713795826.4116237,2.1812790043283155,1.3007481761950732,0.6458429656932724,0.7419262889936107,-0.007908376366850637,0.008678570022098951,0.09653609323065547,-0.6394781339307958
4509,1713795826.4316237,2.1793931978911125,1.2895480329145135,0.646238835967703,0.7434372253584939,-0.00784059684068011,0.008385016532279735,0.09367578935371212,-0.6339823358435612
4510,1713795826.4516237,2.1774324206150286,1.2782490904095805,0.6464999901220149,0.7463661007990553,-0.007770017086689011,0.00837007752842292,0.09099534423215512,-0.6282615341244671
4511,1713795826.4716237,2.175441538526877,1.2668339239460007,0.6466352362151768,0.7519757061195845,-0.007696739438968609,0.008650397109240388,0.08849671429925546,-0.622323000451148
4512,1713795826.4916236,2.173421803681986,1.2552982579274128,0.6465541861643236,0.7482596788251125,-0.007620854118615931,0.0072410405589873345,0.08610117442045474,-0.6161737710528941
4513,1713795826.5116236,2.1658877991717,1.2462329946191608,0.6462967742392935,0.7162941318408041,-0.007542130865099346,0.005473700023308328,0.08369050409709627,-0.6098206517896747
4514,1713795826.5316236,2.15368377768655,1.2393654454703944,0.6460326891490367,0.6624123075553922,-0.007460877360951395,0.004950266092586821,0.0813036545280788,-0.6032702431620481
4515,1713795826.5516236,2.1410449083063305,1.232702523413723,0.6460220684487525,0.6857588031836216,-0.0073774681493261746,0.0076759975454502765,0.07954221616263565,-0.5965289260590311
4516,1713795826.5716236,2.1284336654625937,1.2259938571195723,0.6462674180825111,0.740753367752135,-0.007291882086300461,0.009053809195486002,0.07810938692929567,-0.5896028625233535
4517,1713795826.5916235,2.115808267301482,1.2192183031527624,0.6465227895420381,0.7512718754549894,-0.007204128353237421,0.004820093889677392,0.07653221813068875,-0.5824980187676535
4518,1713795826.6116235,2.103061904378277,1.212389443376011,0.6467636704180975,0.7579799324121795,-0.007114249476937775,0.0001363478827993989,0.07506236533633445,-0.5752201705083132
4519,1713795826.6316235,2.0902427876772496,1.2055017784087714,0.6468981419990713,0.7574616073934427,-0.007022305886182519,-0.0019536459281369275,0.07367566304097103,-0.567774907890482
4520,1713795826.6516235,2.077344423135032,1.198555140872237,0.6469117992347501,0.7336150928865433,-0.006928360585874373,-0.005132342971967076,0.07227163764717201,-0.560167640726024
4521,1713795826.6716237,2.064335262798985,1.1915528112418146,0.6467839756476023,0.6759809262970883,-0.006832476488066652,-0.006637997098069529,0.07078728812565831,-0.5524036041480266
4522,1713795826.6916234,2.0512155771962237,1.1845014313226796,0.6465274146626903,0.6779857070630974,-0.006734714921312014,-0.005405392778153568,0.06979279793900778,-0.5444878641632662
4523,1713795826.7116234,2.0391839215028735,1.1784235785443857,0.6462312794016359,0.7092927548008878,-0.006635013777764938,-0.004217483863301395,0.06908828210819638,-0.5364253220263211
4524,1713795826.7316234,2.028125365677039,1.173239519263245,0.6460237944514214,0.7652432780340502,-0.006533517491630203,-0.004399025261052081,0.06863622416160224,-0.5282207262515968
4525,1713795826.7516234,2.0171696971552304,1.1681124449784288,0.6459798247699974,0.7672282821225707,-0.006430406937388408,-0.006971550527957492,0.06795100226111551,-0.5198786696236352
4526,1713795826.7716234,2.0060992545073657,1.1629563005548014,0.6461369416744539,0.7652901694808867,-0.006325694129889953,-0.008568220821977387,0.06734406519098564,-0.5114035911872769
4527,1713795826.7916234,1.9949791703207354,1.1577506325235671,0.6463650408737309,0.7613900608327903,-0.006219407931994204,-0.009389607791655147,0.06682483945139012,-0.502799788026554
