time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795750.9254727,5.142154508703047,-0.7609040237694924,0.0,0.0,0.0,0.03289755081288183,0.9994587290881569,0.3265779715455391,0.0,0.0,0.0,0.0,-0.003807262995813529
1713795750.9454618,5.14948952587312,-0.7604193988084599,0.0,0.0,0.0,0.03306464956144369,0.9994532149877646,0.32487930110751373,0.0,0.0,0.0,0.0,0.0005305477783064179
1713795750.9654493,5.14948952587312,-0.7604193988084599,0.0,0.0,0.0,0.03306464956144369,0.9994532149877646,0.285479931480006,0.0,0.0,0.0,0.0,0.0010886856678650491
1713795750.985476,5.156189170182716,-0.7599779524861792,0.0,0.0,0.0,0.03271938032692157,0.9994645777370113,0.28369504168278475,0.0,0.0,0.0,0.0,-0.0028074365218406826
1713795751.0055008,5.163290668417968,-0.7595115385154797,0.0,0.0,0.0,0.03285292179877981,0.9994601970710406,0.3192345828240962,0.0,0.0,0.0,0.0,-0.0014729725559132333
1713795751.025482,5.1699183664276465,-0.7590755747311996,0.0,0.0,0.0,0.03281970946669793,0.9994612882300753,0.3171746155398957,0.0,0.0,0.0,0.0,-0.0013603451480668268
1713795751.0454605,5.1699183664276465,-0.7590755747311996,0.0,0.0,0.0,0.03281970946669793,0.9994612882300753,0.28279039331236,0.0,0.0,0.0,0.0,-0.0012492809629926565
1713795751.0654442,5.1699183664276465,-0.7590755747311996,0.0,0.0,0.0,0.03281970946669793,0.9994612882300753,0.2478317811450601,0.0,0.0,0.0,0.0,-0.0015839521360769045
1713795751.0855317,5.188600914850231,-0.757839132834382,0.0,0.0,0.0,0.03325354268577803,0.9994469480161742,0.3025107897537475,0.0,0.0,0.0,0.0,0.006759147207356532
1713795751.1054978,5.194406649783315,-0.757451849730607,0.0,0.0,0.0,0.03334245350757321,0.9994439858211641,0.29548286853116107,0.0,0.0,0.0,0.0,-0.00046389095147479165
1713795751.125465,5.2009321163987865,-0.7570194731231755,0.0,0.0,0.0,0.03280863868128218,0.9994616517044969,0.29418900168499545,0.0,0.0,0.0,0.0,-0.0009122565874001398
1713795751.1454298,5.2009321163987865,-0.7570194731231755,0.0,0.0,0.0,0.03280863868128218,0.9994616517044969,0.2574137535933915,0.0,0.0,0.0,0.0,-0.0025850725331097394
1713795751.1654663,5.2068038174264135,-0.756632578777682,0.0,0.0,0.0,0.032975737919718875,0.9994561524692567,0.28678238482413,0.0,0.0,0.0,0.0,-0.0009162177289237936
1713795751.185497,5.2119858133905375,-0.7562887537476606,0.0,0.0,0.0,0.03326495926518538,0.9994465680991084,0.27918326621268597,0.0,0.0,0.0,0.0,0.005423177005937929
1713795751.2055194,5.215818020280771,-0.7560314465301746,0.0,0.0,0.0,0.033765208734482736,0.9994297927714166,0.2628259688855221,0.0,0.0,0.0,0.0,0.009088302899208447
1713795751.225526,5.217857114364012,-0.7558930530118045,0.0,0.0,0.0,0.03398800038871445,0.9994222410120643,0.23979965481796994,0.0,0.0,0.0,0.0,0.011649377297279832
1713795751.2454185,5.219290332164157,-0.7557962772616421,0.0,0.0,0.0,0.033420293504601184,0.9994413859662138,0.24702097945780394,0.0,0.0,0.0,0.0,0.005938302941769016
1713795751.2654862,5.22056189940215,-0.7557110281929361,0.0,0.0,0.0,0.033509549784995415,0.9994383973378284,0.2533716691416553,0.0,0.0,0.0,0.0,0.006828364075379035
1713795751.2854383,5.22056189940215,-0.7557110281929361,0.0,0.0,0.0,0.033509549784995415,0.9994383973378284,0.16016116731380628,0.0,0.0,0.0,0.0,0.002506514808357335
1713795751.3054483,5.221137433560915,-0.7556723012498275,0.0,0.0,0.0,0.03366522870380075,0.9994331655375065,0.1339013905266476,0.0,0.0,0.0,0.0,0.0031723125635606934
1713795751.325488,5.22120364025578,-0.755667842581244,0.0,0.0,0.0,0.03356524833621796,0.9994365283018867,0.10147972322778993,0.0,0.0,0.0,0.0,0.007523806940508998
1713795751.3454394,5.2219531936935555,-0.7556176492716902,0.0,0.0,0.0,0.033286754541091465,0.9994458424407603,0.10524504432432172,0.0,0.0,0.0,0.0,0.00473051629081319
1713795751.365463,5.22393241825343,-0.7554860195941201,0.0,0.0,0.0,0.03310893230488442,0.999451749011242,0.08578271540947323,0.0,0.0,0.0,0.0,0.0012845540225445752
1713795751.385461,5.225995641384822,-0.7553498637273589,0.0,0.0,0.0,0.0327754263008869,0.9994627413919916,0.070194853610731,0.0,0.0,0.0,0.0,-0.004942033508752743
1713795751.4055147,5.228412737424448,-0.7551911929180838,0.0,0.0,0.0,0.0327640095367656,0.9994631157171708,0.0630917147887968,0.0,0.0,0.0,0.0,-0.010055546900212129
1713795751.425446,5.231477644325552,-0.7549904769487739,0.0,0.0,0.0,0.032619396821691515,0.9994678458814916,0.06828665625269625,0.0,0.0,0.0,0.0,-0.01373590520618006
1713795751.4454877,5.235232279769632,-0.7547442132130109,0.0,0.0,0.0,0.03286433852955591,0.9994598217302259,0.07983925117319192,0.0,0.0,0.0,0.0,-0.005579257623187901
1713795751.4654505,5.235232279769632,-0.7547442132130109,0.0,0.0,0.0,0.03286433852955591,0.9994598217302259,0.07348856148934055,0.0,0.0,0.0,0.0,-0.006469318756797918
1713795751.4854996,5.239202933838216,-0.7544813832166944,0.0,0.0,0.0,0.033220330793744375,0.9994480524879491,0.09333655654237923,0.0,0.0,0.0,0.0,-0.0029161732600605237
1713795751.5055022,5.243916934358136,-0.7541679786554226,0.0,0.0,0.0,0.03315356094149788,0.999450269596691,0.11407274595508854,0.0,0.0,0.0,0.0,-0.005141061407327303
1713795751.5254896,5.2488648639901205,-0.7538397406768451,0.0,0.0,0.0,0.033075720253392324,0.9994528486775749,0.13855134563981714,0.0,0.0,0.0,0.0,-0.0049220061477959825
1713795751.5454817,5.253968864997271,-0.753500579541075,0.0,0.0,0.0,0.0332646133082974,0.9994465796136627,0.1603724007015625,0.0,0.0,0.0,0.0,-0.00023799933740636277
1713795751.5654755,5.2582992177659795,-0.7532126828370679,0.0,0.0,0.0,0.03310893230488441,0.999451749011242,0.17217266774614723,0.0,0.0,0.0,0.0,-1.9062930299600966e-05
1713795751.5854683,5.262539565163199,-0.752931953821759,0.0,0.0,0.0,0.03298680864421154,0.9994557871439187,0.18308888924617941,0.0,0.0,0.0,0.0,0.002095787265999737
1713795751.6054454,5.262539565163199,-0.752931953821759,0.0,0.0,0.0,0.03298680864421154,0.9994557871439187,0.171009784253966,0.0,0.0,0.0,0.0,0.002209710798261155
1713795751.6255128,5.265982188569522,-0.7527038448255632,0.0,0.0,0.0,0.033164631600815696,0.9994499023016522,0.17279239787683803,0.0,0.0,0.0,0.0,0.005434858388101994
1713795751.6454868,5.2697427886120245,-0.7524542887734379,0.0,0.0,0.0,0.03308679094128358,0.9994524822447577,0.1728871455083719,0.0,0.0,0.0,0.0,0.002209446380358751
1713795751.6654713,5.273515054847328,-0.7522026929051121,0.0,0.0,0.0,0.033498479253094855,0.9994387684534406,0.191804832988986,0.0,0.0,0.0,0.0,0.006331762010397068
1713795751.6854815,5.27586608568444,-0.7520449676086813,0.0,0.0,0.0,0.03347633817696242,0.9994395103167883,0.18373253138747755,0.0,0.0,0.0,0.0,0.002557192153445677
1713795751.705466,5.278504788439794,-0.7518664685916839,0.0,0.0,0.0,0.03405442241892162,0.9994199799452248,0.1733475042589806,0.0,0.0,0.0,0.0,0.009013803312028446
1713795751.7254968,5.28056776892355,-0.7517266848977665,0.0,0.0,0.0,0.03358738934626567,0.9994357844688684,0.1588604701604859,0.0,0.0,0.0,0.0,0.005127296984294484
1713795751.7454517,5.2816471942387775,-0.7516536411507913,0.0,0.0,0.0,0.03396585967860339,0.9994229937200232,0.138695848924785,0.0,0.0,0.0,0.0,0.007032045184932709
