,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
474,5.3,4.76,3.2600000000000002,1.31
475,5.24,4.83,3.2800000000000002,1.34
476,5.21,4.84,2.92,1.52
477,5.18,4.86,2.58,1.6600000000000001
478,5.07,4.91,2.16,1.78
479,5.16,4.99,1.8900000000000001,1.86
480,4.94,4.98,1.77,1.99
481,5.08,5.05,1.6400000000000001,2.09
482,4.96,5.14,1.54,2.23
483,4.8,5.15,1.35,2.46
484,5.0,5.2700000000000005,1.23,2.63
485,4.8,5.32,1.2,2.65
486,4.73,5.3100000000000005,1.18,2.61
487,4.73,5.36,1.16,2.63
488,4.65,5.42,1.12,2.68
489,5.43,5.44,1.05,2.67
490,5.38,5.46,1.06,2.66
491,5.2700000000000005,5.48,1.01,2.66
492,5.0,5.6000000000000005,1.01,2.67
493,4.96,5.53,0.98,2.67
494,4.93,5.6000000000000005,0.97,2.65
495,4.94,5.5200000000000005,0.9,2.67
496,4.96,5.53,0.9,2.66
497,4.94,5.54,0.93,2.7600000000000002
498,4.92,5.51,0.9400000000000001,2.77
499,4.94,5.57,0.98,2.7800000000000002
500,4.94,5.51,0.96,2.81
501,4.93,5.51,0.9,2.7800000000000002
502,5.0,5.5200000000000005,1.0,2.81
503,4.98,5.3500000000000005,1.18,2.83
504,4.79,5.16,1.21,2.87
505,4.69,5.05,1.3800000000000001,2.89
506,4.32,4.87,1.58,3.0
507,4.29,4.72,1.73,3.08
508,3.98,4.54,1.96,3.11
509,3.96,4.44,2.21,3.24
510,3.7800000000000002,4.2700000000000005,2.39,3.36
511,3.58,4.08,2.57,3.47
512,3.34,3.94,2.81,3.56
513,3.18,3.86,2.96,3.7600000000000002
514,2.99,3.72,3.08,3.86
515,2.88,3.6,3.27,4.01
516,2.68,3.5,3.42,4.12
517,2.6,3.39,3.61,4.3100000000000005
518,2.46,3.3200000000000003,3.7600000000000002,4.49
519,2.19,3.15,3.85,4.61
520,1.83,3.11,4.0600000000000005,4.8
521,1.74,3.0100000000000002,4.28,4.92
522,1.52,2.91,4.4,5.1000000000000005
523,1.35,2.79,4.58,5.2
524,1.1400000000000001,2.74,4.82,5.4
525,0.97,2.72,4.94,5.59
526,0.9,2.72,5.0200000000000005,5.57
527,0.93,2.77,4.94,5.64
528,0.86,2.79,4.96,5.7
529,0.8300000000000001,2.77,4.92,5.71
530,0.81,2.93,4.93,5.74
531,0.79,2.92,5.03,5.82
532,0.85,2.94,5.0,5.82
533,0.72,3.0100000000000002,5.07,5.87
534,0.77,2.96,5.13,5.87
535,0.77,3.0300000000000002,5.14,5.86
536,0.79,3.0300000000000002,5.1000000000000005,5.89
537,0.79,2.97,5.12,5.88
538,0.84,2.87,5.17,5.75
539,1.01,2.75,5.18,5.72
540,1.04,2.7600000000000002,5.18,5.63
541,1.2,2.68,5.2,5.54
542,1.31,1.85,5.2,5.62
543,1.4000000000000001,1.92,5.21,5.55
544,1.54,1.86,5.29,5.44
545,1.68,1.8,5.33,5.38
546,1.84,1.69,5.2700000000000005,5.3500000000000005
547,2.0100000000000002,1.46,5.42,5.28
548,2.21,1.3800000000000001,5.4,5.23
549,2.33,1.22,5.5,5.28
550,2.2800000000000002,1.03,5.54,5.15
551,2.44,0.96,5.61,5.17
552,2.65,0.8200000000000001,5.67,5.17
553,2.64,0.88,5.66,5.19
554,2.7,0.88,5.69,5.13
555,2.62,0.84,5.73,5.18
556,2.59,0.75,5.63,5.21
557,2.68,0.73,5.82,5.18
558,2.69,0.73,5.82,5.25
559,2.68,0.65,5.7700000000000005,5.2
560,2.68,0.68,5.8,5.18
561,2.68,0.73,5.8,5.16
562,2.69,0.62,5.8100000000000005,5.18
563,2.69,0.67,5.7700000000000005,5.21
564,2.69,0.71,5.78,5.15
565,2.73,0.66,5.8,5.18
566,2.7,0.6900000000000001,5.7700000000000005,5.19
567,2.75,0.75,5.8,5.12
568,2.81,0.88,5.59,4.97
569,2.84,1.02,5.44,4.91
570,2.9,1.11,5.38,4.72
571,2.91,1.22,5.19,4.54
572,3.04,1.33,5.07,4.43
573,3.08,1.46,4.98,4.3100000000000005
574,3.12,1.68,4.84,4.15
575,3.15,1.77,4.7,4.01
576,3.22,2.02,4.58,3.85
577,3.29,2.15,4.42,3.74
578,3.39,2.33,4.3100000000000005,3.59
579,3.45,2.44,4.24,3.45
580,3.5300000000000002,2.5500000000000003,4.07,3.41
581,3.68,2.73,4.04,3.31
582,3.81,2.86,3.88,3.12
583,3.96,2.96,3.87,2.99
584,4.07,3.14,3.7600000000000002,2.88
585,4.14,3.24,3.67,2.7600000000000002
586,4.32,3.42,3.54,2.71
587,4.37,3.5500000000000003,3.52,2.63
588,4.51,3.7,3.41,2.5100000000000002
589,4.59,3.8000000000000003,3.35,2.37
590,4.74,3.94,3.2800000000000002,1.6300000000000001
591,4.88,4.12,3.18,1.67
592,4.99,4.2700000000000005,3.14,1.55
593,5.17,4.44,3.06,1.45
