time_sec,time_nanosec,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
1713795784,859031161,69,296,522,594
1713795785,61394885,70,295,529,595
1713795785,264530074,69,290,523,591
1713795785,456808487,67,291,520,588
1713795785,659703479,75,291,531,587
1713795785,862405265,76,280,525,584
1713795786,54563070,94,266,528,584
1713795786,258255862,106,264,526,565
1713795786,459717306,119,262,524,575
1713795786,660711160,125,190,533,563
1713795786,856882417,136,185,527,559
1713795787,52080044,155,185,534,555
1713795787,256385192,162,177,543,547
1713795787,449468646,178,170,541,541
1713795787,651680159,191,151,542,539
1713795787,853984711,209,140,549,538
1713795788,54437475,229,128,561,536
1713795788,245310873,273,103,557,529
1713795788,448829661,228,94,567,531
1713795788,651160961,249,83,566,524
1713795788,843316203,265,76,569,519
1713795789,46626714,263,71,573,522
1713795789,246817463,263,77,569,519
1713795789,440482915,262,76,578,524
1713795789,643794896,258,72,579,523
1713795789,844983683,268,69,584,529
1713795790,45678992,273,67,593,527
1713795790,241061419,278,62,590,527
1713795790,443415539,278,64,584,526
1713795790,643181254,280,70,594,527
1713795790,835272084,278,66,585,527
1713795791,37953628,276,65,585,526
1713795791,239396951,276,68,585,528
1713795791,433093317,276,64,580,529
1713795791,636358671,279,71,582,518
1713795791,839329305,280,77,565,514
1713795792,30591671,278,83,560,501
1713795792,233749163,288,97,545,492
1713795792,436307949,285,107,533,474
1713795792,628708605,290,119,523,466
1713795792,827933260,296,137,508,451
1713795793,31196931,297,145,497,443
1713795793,231295563,311,157,486,422
1713795793,425343804,309,175,475,409
1713795793,628852885,316,190,461,400
1713795793,831354334,318,201,452,387
1713795794,24534000,328,223,435,376
1713795794,226427745,336,235,426,366
1713795794,428326339,341,247,417,360
1713795794,620529681,353,263,409,342
1713795794,823840102,359,272,398,333
1713795795,24665265,370,283,385,326
1713795795,218731843,385,290,383,316
1713795795,422140807,391,306,366,306
1713795795,623633615,405,316,368,298
1713795795,819312350,412,334,355,283
1713795796,20683444,422,343,355,257
1713795796,213770179,433,364,343,257
1713795796,417475022,447,365,339,253
1713795796,618493520,453,383,327,212
1713795796,818987155,467,392,321,187
1713795797,11051071,479,405,308,186
1713795797,213254595,486,427,304,172
1713795797,416204263,501,433,302,150
1713795797,608287863,511,455,295,137
1713795797,811453881,526,459,280,121
1713795798,12291850,529,461,284,118
1713795798,213080723,533,457,286,118
1713795798,405292452,542,460,290,114
1713795798,611666911,550,465,293,109
1713795798,803490013,553,474,304,106
1713795799,6781889,560,481,327,108
1713795799,207875511,556,483,329,111
1713795799,401087053,559,478,327,106
1713795799,604742132,560,479,293,112
1713795799,805958407,559,480,292,115
1713795800,6496869,560,479,342,113
1713795800,197784659,556,482,358,117
1713795800,401717129,548,486,314,120
1713795800,604481796,538,486,310,127
1713795800,796560559,529,486,296,132
1713795800,999380241,528,487,283,146
1713795801,199501577,523,490,238,162
1713795801,400939468,508,491,225,176
1713795801,594763818,505,490,209,191
1713795801,796007848,510,500,200,196
1713795801,996602211,499,497,175,204
1713795802,197542011,505,507,163,208
1713795802,391679475,500,512,152,219
1713795802,593608435,494,521,138,244
1713795802,793896785,501,524,127,263
1713795802,994481858,487,529,121,273
1713795803,190286606,486,529,119,273
1713795803,391605981,485,533,119,276
1713795803,584753556,480,535,111,256
1713795803,787804002,520,539,105,264
1713795803,989294757,558,543,103,261
1713795804,189678447,548,543,101,259
1713795804,381811374,543,549,99,255
1713795804,586151321,524,606,98,263
1713795804,786526661,509,580,98,261
1713795804,987417345,511,566,96,267
1713795805,180142028,508,564,91,267
1713795805,382551541,507,562,92,269
1713795805,576740048,512,558,91,270
1713795805,779391707,511,562,86,266
1713795805,980871238,506,561,92,272
1713795806,181755589,511,564,94,270
1713795806,373558163,497,551,98,262
1713795806,577083826,501,545,110,276
1713795806,777683791,487,530,120,283
1713795806,979178723,476,519,132,288
1713795807,170485981,463,498,145,294
1713795807,374220512,444,496,151,307
1713795807,576239878,424,480,166,312
1713795807,768682720,417,469,179,321
1713795807,971913731,406,460,203,325
1713795808,174102638,381,446,211,334
1713795808,367471462,376,435,229,338
1713795808,570516613,373,421,238,357
1713795808,771383505,349,414,258,357
1713795808,963757439,337,404,270,359
1713795809,167290122,326,393,279,371
1713795809,368319751,316,388,298,381
1713795809,561853204,304,383,307,391
1713795809,764612077,289,368,317,401
1713795809,965178780,289,360,328,412
1713795810,166762147,271,359,338,415
1713795810,361218584,258,349,357,434
1713795810,563132439,264,340,367,442
1713795810,756382853,216,335,382,456
1713795810,959191131,212,326,391,467
1713795811,160240055,201,313,403,474
1713795811,361549957,183,306,412,487
1713795811,553081413,166,290,432,493
1713795811,756591548,149,287,446,507
1713795811,956759356,136,276,463,513
