time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1713795786699118897,5049.92431640625,91.83067321777344,-42.50999069213867,-0.003142239060252905,0.00959902536123991,0.7140828371047974,0.6999883055686951
1713795786718659406,5050.29541015625,104.97441101074219,-42.55918502807617,-0.004065465647727251,0.009618197567760944,0.7143372297286987,0.6997237205505371
1713795786744468158,5049.9375,124.65513610839844,-43.04400634765625,-0.004059572704136372,0.010304377414286137,0.7140284776687622,0.7000290751457214
1713795786780933387,5049.2734375,144.81097412109375,-43.612117767333984,-0.004159233532845974,0.010403863154351711,0.7137296795845032,0.7003316283226013
1713795786800928987,5048.78662109375,164.34991455078125,-44.0167350769043,-0.0045894114300608635,0.010465572588145733,0.7135348916053772,0.7005264759063721
1713795786819527748,5048.57861328125,171.07774353027344,-44.292842864990234,-0.00461859256029129,0.009962173178792,0.7134520411491394,0.7006179690361023
1713795786838449249,5048.267578125,184.12094116210938,-44.528865814208984,-0.004395860247313976,0.009077195078134537,0.7135584950447083,0.7005230188369751
1713795786860674481,5047.89306640625,196.84390258789062,-44.32883071899414,-0.003821954596787691,0.008855636231601238,0.713621973991394,0.7004645466804504
1713795786896437241,5047.56884765625,209.2963104248047,-44.2414665222168,-0.0036017918027937412,0.00916669238358736,0.7138407826423645,0.7002387642860413
1713795786913336539,5046.54345703125,227.99575805664062,-45.0358772277832,-0.0024018562398850918,0.010727191343903542,0.7139931917190552,0.700066328048706
1713795786932055288,5047.7783203125,247.37713623046875,-45.10857391357422,-0.002001836895942688,0.008220996707677841,0.7158228754997253,0.6982306241989136
1713795786948485947,5047.0048828125,253.71621704101562,-45.64046096801758,-0.0015527538489550352,0.00873642973601818,0.7158963084220886,0.6981502175331116
1713795786973059474,5046.1025390625,272.9879150390625,-46.28409194946289,-0.000596764381043613,0.009418555535376072,0.7159014940261841,0.6981375217437744
1713795786989432863,5046.6826171875,279.6285705566406,-46.08759307861328,-0.0007450021803379059,0.008465993218123913,0.7160882353782654,0.6979580521583557
