time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795749701641995,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701700662,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701714421,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701726923,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701770155,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701776860,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701795089,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701819394,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701852848,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701894544,0.0,0.0,0.0,0.0,0.0,0.0
1713795749701909979,0.0,0.0,0.0,0.0,0.0,0.0
1713795749709475826,0.0,0.0,0.0,0.0,0.0,0.0
1713795749717643222,0.0,0.0,0.0,0.0,0.0,0.0
1713795749725589219,0.0,0.0,0.0,0.0,0.0,0.0
1713795749736810877,0.0,0.0,0.0,0.0,0.0,0.0
1713795749746954244,0.0,0.0,0.0,0.0,0.0,0.0
1713795749759191754,0.0,0.0,0.0,0.0,0.0,0.0
1713795749769715899,0.0,0.0,0.0,0.0,0.0,0.0
1713795749781342082,0.0,0.0,0.0,0.0,0.0,0.0
1713795749787329220,0.0,0.0,0.0,0.0,0.0,0.0
1713795749795886544,0.0,0.0,0.0,0.0,0.0,0.0
1713795749806236154,0.0,0.0,0.0,0.0,0.0,0.0
1713795749817383151,0.0,0.0,0.0,0.0,0.0,0.0
1713795749827311125,0.0,0.0,0.0,0.0,0.0,0.0
1713795749836961756,0.0,0.0,0.0,0.0,0.0,0.0
1713795749846130547,0.0,0.0,0.0,0.0,0.0,0.0
1713795749854679770,0.0,0.0,0.0,0.0,0.0,0.0
1713795749868138398,0.0,0.0,0.0,0.0,0.0,0.0
1713795749877023072,0.0,0.0,0.0,0.0,0.0,0.0
1713795749885873383,0.0,0.0,0.0,0.0,0.0,0.0
1713795749896427840,0.0,0.0,0.0,0.0,0.0,0.0
1713795749908634899,0.0,0.0,0.0,0.0,0.0,0.0
1713795749918763530,0.0,0.0,0.0,0.0,0.0,0.0
1713795749928085764,0.0,0.0,0.0,0.0,0.0,0.0
1713795749937224593,0.0,0.0,0.0,0.0,0.0,0.0
1713795749946976285,0.0,0.0,0.0,0.0,0.0,0.0
1713795749955666170,0.0,0.0,0.0,0.0,0.0,0.0
1713795749967735361,0.0,0.0,0.0,0.0,0.0,0.0
1713795749980476152,0.0,0.0,0.0,0.0,0.0,0.0
1713795749989619172,0.0,0.0,0.0,0.0,0.0,0.0
1713795749997743894,0.0,0.0,0.0,0.0,0.0,0.0
1713795750006414782,0.0,0.0,0.0,0.0,0.0,0.0
1713795750017218854,0.0,0.0,0.0,0.0,0.0,0.0
1713795750026652695,0.11,0.0,0.0,0.0,0.0,0.0
1713795750038572074,0.11,0.0,0.0,0.0,0.0,0.0
1713795750047191208,0.19,0.0,0.0,0.0,0.0,0.0
1713795750057821653,0.19,0.0,0.0,0.0,0.0,0.0
1713795750066738803,0.19,0.0,0.0,0.0,0.0,0.0
1713795750078986788,0.34,0.0,0.0,0.0,0.0,0.0
1713795750087374815,0.38,0.0,0.0,0.0,0.0,0.0
1713795750097322065,0.38,0.0,0.0,0.0,0.0,0.0
1713795750107835804,0.38,0.0,0.0,0.0,0.0,0.0
1713795750116958289,0.4,0.0,0.0,0.0,0.0,0.0
1713795750129441573,0.4,0.0,0.0,0.0,0.0,0.0
1713795750135014058,0.46,0.0,0.0,0.0,0.0,0.0
1713795750144898869,0.46,0.0,0.0,0.0,0.0,0.0
1713795750156780045,0.46,0.0,0.0,0.0,0.0,0.0
1713795750167636359,0.46,0.0,0.0,0.0,0.0,0.0
1713795750179242077,0.52,0.0,0.0,0.0,0.0,0.0
1713795750185747722,0.52,0.0,0.0,0.0,0.0,0.0
1713795750195961559,0.52,0.0,0.0,0.0,0.0,0.0
1713795750208891342,0.52,0.0,0.0,0.0,0.0,0.0
