,time,pos_x,v_x,a_x,pos_y,v_y,a_y,yaw,w
11106,1713795850.2254765,4.079659939137615,-0.8243736547700649,0.024484060569589815,1.4736263866041939,-0.13005801223636823,-0.39550147568986244,-1.869310898283224,0.01611643352914446
11107,1713795850.228,4.079043654008868,-0.8256537667791753,0.0375734589158935,1.4700484844026964,-0.12245486356338657,-0.41719113257632545,-1.8698938816705954,0.011362049219628707
11108,1713795850.241,4.067422884242093,-0.8255083713032518,0.0423333610964054,1.4669569358959236,-0.12586611413551296,-0.4248466031691498,-1.8697556677541847,0.011199201702745272
11109,1713795850.2454596,4.062903586734022,-0.8260814160966143,0.04233333687042192,1.4662625945817644,-0.12830266417239122,-0.42484661977649585,-1.8695457996915197,0.012393414225800498
11110,1713795850.264,4.046780565447483,-0.8254697900341703,0.029163044735127673,1.4642710464775743,-0.13673528528268794,-0.42221033428632304,-1.8695139827480785,0.01080188326498804
11111,1713795850.265485,4.046407234542242,-0.8266694990847867,0.029162991338389545,1.464192012952117,-0.13727726334023915,-0.4222103544206453,-1.8692053028657343,0.013256208753988469
11112,1713795850.2854855,4.0300266138827725,-0.8277482587635657,-0.012136594448140353,1.4585001935081718,-0.14094161645286477,-0.43616169802599625,-1.869848548698176,0.006400206806314564
11113,1713795850.286,4.029643825479765,-0.7417769032167252,-0.01213281724565825,1.459065637024582,-0.12145289365959552,-0.4361598151474477,-1.869384462750435,0.010141007259685707
11114,1713795850.3054528,4.00223784168043,-0.741142437961497,-0.012133329960588168,1.453773312144608,-0.13188401940903316,-0.4361838325182103,-1.8692532364089445,0.010141007259685707
11115,1713795850.32,3.99695865987576,-0.739423070285247,-0.012133245791098151,1.452824125259997,-0.1345513805795491,-0.4361838501462849,-1.8689755604333367,0.011764664845982313
11116,1713795850.3254929,3.986774289751781,-0.7475281161791735,-0.009717392815215019,1.4502862480039358,-0.09788429162030561,-0.4723295065152159,-1.8690399881553328,0.010051411885504508
11117,1713795850.34,3.981892252827113,-0.7446493618357986,-0.009717257669357987,1.4496122722866256,-0.10140833183160632,-0.4723290829388382,-1.8693453947995713,0.007143545976656153
11118,1713795850.3454938,3.9702917702752902,-0.7465306419728668,-0.014466611021152058,1.4475977155821194,-0.09684800261012816,-0.4834599202400472,-1.8686360147643934,0.011685811801271111
11119,1713795850.36,3.966686113433041,-0.8395379438472366,-0.014470837694639147,1.4472064402518805,-0.10958549687914793,-0.48346230339741053,-1.8690943485636768,0.007653713844084961
11120,1713795850.3655126,3.9525148563011476,-0.8335869125036119,-0.019990959892626437,1.4477980035306701,-0.16369755995652377,-0.43545340040970437,-1.8678132590284686,0.016318503065255598
11121,1713795850.384,3.9503670587529425,-0.8269727285540185,-0.019990654019827123,1.4476111299354033,-0.15961246466046897,-0.4354542543584419,-1.8678483965296335,0.015707337434768234
11122,1713795850.3854918,3.93657518813926,-0.8191286135331101,-0.006893943599732307,1.4483523689404252,-0.20580095157092063,-0.3887625226876921,-1.8677692642451011,0.014223769770747898
11123,1713795850.4054615,3.934490999721671,-0.809933176884791,-0.006893525100747723,1.4482025231259197,-0.199388425669499,-0.38876324726078665,-1.8688546717249934,0.005240131356271721
11124,1713795850.4060662,3.9182514894970217,-0.8107294379429104,-0.006893587031148484,1.4441228610240777,-0.20739753556812698,-0.3887632717914332,-1.8689393874928624,0.0038102018064063246
11125,1713795850.407,3.916940916060398,-0.8121253597249027,0.018914355387197185,1.4425790155882887,-0.20260006622579188,-0.3985176531848559,-1.8697412876735366,-0.002652182564013647
11126,1713795850.42,3.902128323682246,-0.7200088386779389,0.01891878723731653,1.439141142815058,-0.1833793270838476,-0.39851464860607877,-1.870134750413505,-0.005239884311983649
11127,1713795850.4254973,3.8924150889101727,-0.7234274830297698,0.05855945457967514,1.4325812724678322,-0.173392923001091,-0.4282319097506197,-1.8694552441216432,0.00037667965286974827
11128,1713795850.445448,3.887694910012844,-0.7273988187473821,0.05855926535159345,1.4315223575233438,-0.17651297863639265,-0.4282321421512548,-1.8693759787599553,0.0009735729534674769
11129,1713795850.463,3.8738876728081126,-0.7281914691435835,0.058705134078848094,1.4258378314951354,-0.1773115906177879,-0.4430409736968666,-1.867649352139245,0.013680317668869534
11130,1713795850.4654984,3.872788885585325,-0.7325977188219761,0.05870493206100842,1.4255648357168833,-0.17911631132811462,-0.44304112677665203,-1.8683725685370574,0.007788924862140463
11131,1713795850.483,3.85893611354983,-0.8132194232745695,0.05869695052054886,1.4181304750743413,-0.23821227152113697,-0.4430431873850141,-1.8688569154579677,0.0030030210001345562
11132,1713795850.4854825,3.8569908558100607,-0.8160601976013635,0.0785913338860874,1.4112418587522875,-0.22806007083318386,-0.475006594423985,-1.8673418903001129,0.015017469091102183
11133,1713795850.503,3.8426913998270047,-0.8161890014908055,0.08949030163549299,1.4033590807241783,-0.23074747190804734,-0.49327745474399975,-1.866011716967402,0.02321109666373747
11134,1713795850.5054991,3.87573070962758,-0.8164418462452592,0.08949127852480199,1.4148502823443683,-0.215636322652907,-0.49320835357078113,-1.8660001454639716,0.02321109666373747
11135,1713795850.5254622,3.874919344931551,-0.826934383997874,0.08949104525108144,1.4146346655759092,-0.21910752850872084,-0.49320846876635804,-1.8665256151235545,0.018602848660725556
11136,1713795850.526,3.858395902118227,-0.8149031897453322,0.08949202940964747,1.410194094637184,-0.224372913966697,-0.4932086508553977,-1.8668460953567008,0.013263557964497713
11137,1713795850.54,3.8583434477524845,-0.7997598212272462,0.10362588626818628,1.4119856269495137,-0.27797893412990066,-0.44399901586393553,-1.8657612269156776,0.02205743732576791
11138,1713795850.545467,3.843157919115424,-0.7221477076451736,0.1036295184021144,1.408760132283359,-0.20807636251143882,-0.4440129260917021,-1.8660106526917517,0.0168788199438535
11139,1713795850.565,3.8333273121185,-0.7085759371638333,0.08415113682870987,1.407460996023281,-0.24762182908220676,-0.406667585607873,-1.8675264226009356,0.0036894092595143764
11140,1713795850.5654542,3.8294302495756045,-0.7139577883749685,0.08415086988240787,1.4061078395175897,-0.25164052033122747,-0.40666795214066714,-1.8678558502475837,0.0009700247952002489
11141,1713795850.585,3.816251162700099,-0.7121252180523565,0.07423402390068347,1.4015404315853695,-0.26038281408913333,-0.4046206252815704,-1.8698479119268514,-0.01398138180433636
11142,1713795850.5854044,3.8152011429271835,-0.719013628258758,0.07423370530875444,1.401094610724008,-0.26441331217237607,-0.4046208114126482,-1.8688002068503193,-0.005517693944609369
11143,1713795850.5983446,3.800822055614022,-0.7211519161819772,0.06781707964097243,1.3948290898431028,-0.26333779893389075,-0.4165853373882042,-1.8702981568113326,-0.015938482319429285
11144,1713795850.605476,3.8004643545118197,-0.7185021098618897,0.06781719709794082,1.3946962898434319,-0.26261493900835453,-0.4165851970462681,-1.8697267525446233,-0.01129474992812175
11145,1713795850.619,3.791247351074016,-0.7254727582109916,0.05788659796309027,1.3881397476819708,-0.24748275835940872,-0.4466089164854346,-1.8700122191689181,-0.01252476891617032
11146,1713795850.625549,3.7841532805419695,-0.8211461015979373,0.05788231506173439,1.3874266485591416,-0.26663696198658793,-0.44661599874354546,-1.8700048842719605,-0.01161758946066682
11147,1713795850.641,3.7718841666220473,-0.8273724823742873,0.06753209284657496,1.3786583904092842,-0.25330979961898176,-0.4821694076647973,-1.8689969737727303,-0.0025526998538158655
