time,x_filter,v_x_filter,y_filter,v_y_filter,yaw_filter,w_filter,x_ref,y_ref,yaw_ref,v_x_ref,v_y_ref,w_ref
1713795736.5729992,-0.5871643134827201,-8.858163388504202e-05,-0.05321984694290271,-0.0009303352875620666,-0.0003602340740424898,-0.0009357281346230658,-0.007533812641416971,-0.003573206383609261,-0.03259306400631447,0.001285588647149496,0.0014757324242135983,-0.0051098634290951935
1713795736.5929992,-0.5318751025405838,0.0008100799733487852,-0.04922146987019097,-0.0023153469798610454,-0.000339503154853933,-0.000643295211084167,-0.007521942443367412,-0.003513821246871762,-0.03266089874579648,0.00011529281530865565,0.0026249401460255828,0.00021655447526791887
1713795736.6129992,-0.5318924291464541,-0.0005665662006532334,-0.04949718638468505,-0.00011913910622656952,-0.000337408433957966,-0.0005218763009385925,-0.007509216546945026,-0.003561917555058412,-0.032545036180989896,0.00036447431507966217,-0.0039257199693504595,0.007483933838046165
1713795736.6329992,-0.531879345218905,0.0006271739492370116,-0.050361612572457415,-0.0003673060547456197,-0.0003286888105646029,-0.0003958417803639565,-0.007522017154793946,-0.003621340431014553,-0.032416332746271787,-0.000719321229739956,-0.0017544351293417577,0.003270330317227248
1713795736.6529992,-0.531978214121074,-0.0025497689604294495,-0.05245390686682878,-0.0016115127205563657,-0.00031229224710327245,-0.0002041011287427761,-0.007511680716905697,-0.0036235027229184025,-0.03247746811983322,0.0009628018054606575,0.0014171679617314475,-0.008604367001499707
1713795736.6729991,-0.5318303353805881,0.0020480297759808753,-0.054386726142120256,-0.0025601926307006802,-0.0003544135786538069,-0.0004899228011384347,-0.007521784831333572,-0.003583290531469937,-0.03267796570705812,-0.0010475990265368508,0.001773715487646307,-0.008264204374087291
1713795736.6929991,-0.5319521546649998,-0.0012845157034605083,-0.05579085443127202,-0.0024172288543290368,-0.0003821951286122154,-0.0006344266285726984,-0.007541042774887921,-0.003569826608916526,-0.03273476116120029,-0.005017611178783207,0.0031778168937801245,0.031803119732665364
1713795736.712999,-0.5318516505406256,0.0022656624590361553,-0.056902477652614615,-0.0024440229185581316,-0.00042511002297959883,-0.0008869102775099406,-0.007964038032027302,-0.0032416838195542977,-0.029725021973591812,-0.03061022749997949,0.024520562445233773,0.22051954858076728
1713795736.732999,-0.5319604248212262,-0.001756986029766344,-0.05718387307055296,-0.0026012808522389796,-0.00042012400156875995,-0.0007231695202008901,-0.008205874165823171,-0.0030211232068176985,-0.027998215651460878,0.0004742022901332411,0.0017944924198904145,-0.004581651839512874
1713795736.752999,-0.5318394189449542,0.0023824347289000737,-0.05671141029727082,-0.002914869115870311,-0.00040555484837873697,-0.0004951315291327988,-0.008002388261638035,-0.003180047225089647,-0.02940788199752047,0.020630981948226778,-0.01844665034316677,-0.14152522413995433
