time,x,y,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B,yaw,v_x,v_y,w,a_x,a_y
1713795786.4916618,5.339741393955591,-0.4791366169936073,1.1995359708859363,2.5055683493687644,5.254303956328904,5.730928058228128,-0.8127529481962258,0.6602995474384697,0.0,0.01689060034776511,0.2662326936289787,-0.2123886486981697
1713795786.5116618,5.354974431056605,-0.43384817974200507,1.205506299308802,2.4339244082943767,5.263259448963203,5.718987401382396,-0.8128416758288605,0.721728989583272,0.0,0.0073710243151051315,0.26072603555809337,-0.19969939191255653
1713795786.5316617,5.370207468157619,-0.3885597424904028,1.2114766277316675,2.362280467219989,5.272214941597501,5.707046744536664,-0.8129032637782857,0.7233846393656973,0.0,0.006752256393455544,0.255219377487208,-0.18701013512694337
1713795786.5516617,5.385440505258632,-0.3432713052388005,1.2174469561545331,2.290636526145601,5.2811704342318,5.695106087690934,-0.812703280811858,0.722270475596008,0.0,0.00347895471477186,0.24971271941632264,-0.1743208783413302
1713795786.5716617,5.400673542359646,-0.29798286798719825,1.223417284577399,2.2189925850712133,5.290125926866098,5.683165430845202,-0.8123718282313741,0.6924039920801291,0.0,0.013665310773207009,0.2442060613454373,-0.16163162155571703
1713795786.5916617,5.4159065794606605,-0.25269443073559594,1.2293876130002646,2.1473486439968257,5.299081419500397,5.671224773999471,-0.812108491624831,0.6364857077965027,0.0,0.010822018605852359,0.23869940327455194,-0.14894236477010386
1713795786.6116617,5.431139616561674,-0.2074059934839937,1.2353579414231302,2.075704702922438,5.308036912134695,5.65928411715374,-0.8122323340594592,0.6410669218715016,0.0,0.010960686432048285,0.2331927452036666,-0.1362531079844907
1713795786.6316617,5.446372653662688,-0.16211755623239144,1.2413282698459958,2.0040607618480504,5.316992404768993,5.647343460308008,-0.8128524879732527,0.6723180853371596,0.0,0.013164419231163313,0.22768608713278124,-0.12356385119887753
1713795786.6516616,5.461605690763701,-0.11682911898078913,1.2472985982688614,1.9324168207736625,5.325947897403292,5.635402803462277,-0.813186882838481,0.7270348164458492,0.0,0.015988055070940393,0.2221794290618959,-0.11087459441326436
1713795786.6716616,5.46542214919232,-0.09240152372231342,1.2561403594060296,1.8972089275427138,5.326650713051257,5.627767142034171,-0.8130109810717016,0.729577187613415,0.0,0.013154625418842976,0.21667277099101054,-0.09818533762765119
1713795786.6916616,5.459804084213809,-0.08521307757533583,1.26735503802859,1.8921113463506407,5.320533615620769,5.623689077080512,-0.8122999708178176,0.7096191897746356,0.0,0.01454778925774446,0.2111661129201252,-0.08549608084203802
1713795786.7116616,5.4541860192352996,-0.07802463142835825,1.2785697166511507,1.887013765158568,5.314416518190281,5.619611012126854,-0.8116561562417896,0.646678765631799,0.0,0.024236300559754648,0.20565945484923984,-0.07280682405642486
1713795786.7316616,5.448567954256789,-0.07083618528138068,1.2897843952737111,1.8819161839664948,5.308299420759794,5.615532947173196,-0.8115945593877041,0.6435686768887467,0.0,0.024394853651484014,0.20015279677835449,-0.06011756727081169
1713795786.7516615,5.442949889278279,-0.0636477391344031,1.3009990738962716,1.876818602774422,5.302182323329307,5.611454882219538,-0.8119206257587741,0.649004273114408,0.0,0.025901455047581817,0.19464613870746916,-0.04742831048519858
1713795786.7716615,5.437331824299768,-0.05645929298742551,1.312213752518832,1.8717210215823492,5.296065225898819,5.607376817265879,-0.812259731286373,0.6777552175597091,0.0,0.015538712400886251,0.1891394806365838,-0.03473905369958541
1713795786.7916615,5.4317137593212586,-0.04927084684044793,1.3234284311413926,1.8666234403902762,5.289948128468332,5.603298752312221,-0.812787610669143,0.7380426900483585,0.0,0.018762835979935864,0.18363282256569846,-0.02204979691397224
1713795786.8116615,5.426095694342748,-0.04208240069347034,1.334643109763953,1.8615258591982033,5.2838310310378445,5.599220687358563,-0.8132517867064047,0.70985795560219,0.0,0.01926775898200302,0.1781261644948131,-0.009360540128359074
1713795786.8316615,5.420477629364237,-0.03489395454649276,1.3458577883865135,1.8564282780061303,5.277713933607357,5.595142622404904,-0.8135047129809976,0.6451221964290782,0.0,0.02318395782013707,0.17261950642392776,0.003328716657254094
1713795786.8516614,5.414859564385727,-0.027705508399515175,1.357072467009074,1.8513306968140575,5.271596836176869,5.591064557451245,-0.8133788882702918,0.6427926735563574,0.0,0.02455566144978164,0.1671128483530424,0.01601797344286726
1713795786.8716614,5.413419156557803,-0.01794050103668572,1.3743855462008334,1.85,5.275299938073991,5.5869714639577195,-0.8130138914130357,0.6430087370890266,0.0,0.01940505372822865,0.16160619028215706,0.02870723022848043
1713795786.8916614,5.413454555922941,-0.007265292707464,1.393852958096734,1.85,5.282472142456692,5.582873061453319,-0.8123893250011046,0.6639369149638664,0.0,0.004754374514830403,0.1560995322112717,0.0413964870140936
1713795786.9116614,5.41348995528808,0.0034099156217577246,1.4133203699926349,1.85,5.289644346839392,5.578774658948919,-0.8116574170820396,0.7260362110619087,0.0,0.007021051041459054,0.15059287414038636,0.054085743799706765
1713795786.9316614,5.413525354653218,0.014085123950979446,1.4327877818885357,1.85,5.296816551222093,5.574676256444518,-0.8106183620910437,0.7327545186544869,0.0,0.01074284788284689,0.145086216069501,0.06677500058531993
1713795786.9516613,5.413560754018357,0.024760332280201164,1.4522551937844366,1.85,5.303988755604792,5.570577853940119,-0.8097853828756285,0.7317227622785689,0.0,0.006460536829190894,0.13957955799861566,0.0794642573709331
1713795786.9716613,5.413596153383494,0.03543554060942289,1.4717226056803372,1.85,5.311160959987493,5.566479451435718,-0.8091293302459239,0.7008763376416854,0.0,0.021625407672128436,0.1340728999277303,0.09215351415654627
1713795786.9916613,5.413631552748633,0.046110748938644606,1.491190017576238,1.85,5.318333164370193,5.562381048931318,-0.8090348127571435,0.6422400740125686,0.0,0.01534418222165802,0.12856624185684495,0.10484277094215944
1713795787.0116613,5.413666952113771,0.05678595726786633,1.5106574294721389,1.85,5.325505368752893,5.558282646426918,-0.8093350441539272,0.6705765087583572,0.0,0.008220142513210234,0.02088334536998095,-0.5878146561826014
1713795787.0316613,5.41370235147891,0.06746116559708806,1.5301248413680397,1.85,5.3326775731355935,5.554184243922518,-0.8098745855562137,0.7321605994845769,0.0,0.0033878823735267634,0.029023622621906407,-0.594039574571994
1713795787.0516613,5.413737750844048,0.07813637392630979,1.5495922532639403,1.85,5.339849777518293,5.550085841418118,-0.8102656210309112,0.7148310767197201,0.0,-0.006453151493386628,0.03716389987383186,-0.6002644929613865
1713795787.0716612,5.414732912428636,0.08744374744328445,1.5567089694801248,1.842332606308429,5.3486258179030175,5.542332606308428,-0.8100099463053251,0.6353364743636912,0.0,-0.004722279095113549,0.045304177125757315,-0.606489411350779
1713795787.0916612,5.41574860637353,0.09672185863190841,1.5635614651127239,1.8345011827283157,5.3574361694306445,5.534501182728316,-0.809754271579739,0.6335881874759689,0.0,0.0015861585011814126,0.053444454377682776,-0.6127143297401716
1713795787.1116612,5.416764300318424,0.10599996982053234,1.5704139607453231,1.8266697591482022,5.366246520958272,5.526669759148202,-0.809340046896092,0.7240361919521404,0.0,0.001345967111029094,0.06158473162960823,-0.6189392481295641
1713795787.1316612,5.417779994263318,0.11527808100915629,1.5772664563779224,1.8188383355680888,5.3750568724859,5.518838335568089,-0.8087869367607667,0.6660400690418214,0.0,-0.004590466454565302,0.06972500888153368,-0.6251641665189567
1713795787.1516612,5.4187956882082124,0.12455619219778023,1.5841189520105214,1.8110069119879755,5.383867224013527,5.511006911987975,-0.8083940538187012,0.6645319304968568,0.0,-0.005575704841280925,0.07786528613345914,-0.6313890849083492
1713795787.1716611,5.419811382153107,0.13383430338640417,1.5909714476431207,1.8031754884078621,5.392677575541155,5.503175488407862,-0.8078986034860587,0.6990097347790449,0.0,-0.012473983891213477,0.08600556338538459,-0.6376140032977418
1713795787.1916611,5.420827076098001,0.1431124145750281,1.59782394327572,1.7953440648277488,5.401487927068782,5.495344064827749,-0.8076305066983164,0.7578264223624483,0.0,-0.01437535367536378,0.09414584063731005,-0.6438389216871343
1713795787.211661,5.421842770042895,0.15239052576365206,1.604676438908319,1.7875126412476354,5.41029827859641,5.487512641247635,-0.8080174361316711,0.7544504245405481,0.0,-0.015539594640258692,0.1022861178892355,-0.6500638400765268
1713795787.231661,5.422858463987789,0.161668636952276,1.6115289345409183,1.779681217667522,5.419108630124037,5.479681217667522,-0.8093138363628071,0.7288392748900072,0.0,-0.016351473809408983,0.11042639514116095,-0.6562887584659194
1713795787.251661,5.4238741579326835,0.17094674814089994,1.6183814301735175,1.7718497940874087,5.427918981651665,5.471849794087408,-0.8101044884138636,0.6932720361617344,0.0,-0.010230299382526576,0.11856667239308641,-0.6625136768553119
1713795787.271661,5.419709559826592,0.18226604041577293,1.6326585260745496,1.7644618948423847,5.4284176842406815,5.465253052722043,-0.8101430672292256,0.7722498819839703,0.0,-0.009857635063820423,0.12670694964501186,-0.6687385952447045
1713795787.291661,5.4139429779101285,0.19421655946744293,1.6492316487847765,1.7572111536566604,5.426346043901903,5.459038131705709,-0.8095714984487828,0.7798633647344656,0.0,-0.012994999395249387,0.13484722689693732,-0.674963513634097
1713795787.311661,5.408176395993665,0.20616707851911295,1.6658047714950035,1.749960412470936,5.424274403563125,5.452823210689374,-0.8089431684758261,0.6880885157825082,0.0,-0.009392211257841674,0.1429875041488628,-0.6811884320234896
1713795787.331661,5.402409814077201,0.21811759757078295,1.6823778942052303,1.7427096712852117,5.422202763224346,5.446608289673039,-0.8083483365541997,0.7464070914148931,0.0,-0.005351321995220312,0.15112778140078825,-0.6874133504128821
1713795787.351661,5.396643232160737,0.23006811662245297,1.6989510169154574,1.7354589300994874,5.420131122885568,5.440393368656704,-0.807998416867919,0.7420415712580961,0.0,-0.005725238102683388,0.1592680586527137,-0.6936382688022746
1713795787.371661,5.390876650244273,0.24201863567412296,1.7155241396256842,1.728208188913763,5.41805948254679,5.4341784476403685,-0.8080130455532476,0.7087228876385039,0.0,0.002774137303031567,0.16740833590463916,-0.6998631871916672
1713795787.391661,5.385110068327809,0.25396915472579296,1.7320972623359112,1.720957447728039,5.415987842208011,5.427963526624033,-0.8083547642561952,0.6488239508323331,0.0,0.00039914318892181853,0.17554861315656461,-0.7060881055810597
1713795787.411661,5.379343486411345,0.26591967377746295,1.7486703850461383,1.7137067065423146,5.413916201869233,5.421748605607698,-0.8090308665030765,0.6500813639548102,0.0,-0.0034603361058799555,0.18368889040849007,-0.7123130239704523
1713795787.431661,5.373576904494882,0.27787019282913294,1.765243507756365,1.7064559653565903,5.4118445615304545,5.415533684591363,-0.8097544262304747,0.6746255544956299,0.0,0.0041984600539032545,0.19182916766041552,-0.7185379423598448
1713795787.4516609,5.368432024469336,0.2902226367864972,1.7814093831539008,1.6979401323135295,5.410108414088762,5.409783171822477,-0.8103774370298547,0.730541883907619,0.0,-0.008759035904941473,0.19996944491234098,-0.7247628607492373
1713795787.4716609,5.368337229917916,0.30583991740848415,1.7942671879660952,1.6791479560495532,5.411097475997392,5.407805048005216,-0.8107705849673851,0.732496312459969,0.0,-0.009355546139743025,0.20810972216426643,-0.7309877791386299
1713795787.4916608,5.368242435366497,0.32145719803047107,1.8071249927782893,1.660355779785577,5.412086537906022,5.405826924187956,-0.8108290866129274,0.7057511839268408,0.0,-0.007107351731586444,0.21624999941619188,-0.7372126975280224
1713795787.5116608,5.368147640815077,0.337074478652458,1.8199827975904836,1.6415636035216008,5.413075599814652,5.403848800370695,-0.8107341363356764,0.6475037792324192,0.0,-0.008692952625732242,0.22439027666811734,-0.743437615917415
1713795787.5316608,5.368052846263657,0.35269175927444496,1.8328406024026778,1.6227714272576246,5.414064661723283,5.401870676553434,-0.8105751982325848,0.6494232184548845,0.0,-0.004792867591556898,0.2325305539200428,-0.7496625343068075
1713795787.5516608,5.367958051712238,0.3683090398964319,1.845698407214872,1.6039792509936484,5.415053723631913,5.399892552736174,-0.8103653809727456,0.6568334586412148,0.0,-0.00452950970249844,0.24067083117196825,-0.7558874526962001
1713795787.5716608,5.367863257160818,0.38392632051841885,1.8585562120270664,1.5851870747296721,5.416042785540544,5.397914428918913,-0.8100653974233802,0.6849825387597076,0.0,-0.013026798385301217,0.2488111084238937,-0.7621123710855926
1713795787.5916607,5.367768462609399,0.39954360114040577,1.8714140168392606,1.566394898465696,5.417031847449174,5.395936305101652,-0.8100610385465135,0.7383486855102539,0.0,9.096439619935004e-05,0.25695138567581916,-0.7683372894749851
1713795787.6116607,5.367673668057979,0.41516088176239274,1.884271821651455,1.5476027222017197,5.4180209093578044,5.3939581812843915,-0.8100982848632658,0.7350105859705508,0.0,0.005552119053330922,0.2650916629277446,-0.7745622078643777
1713795787.6316607,5.3675788735065595,0.43077816238437966,1.897129626463649,1.5288105459377435,5.419009971266434,5.391980057467131,-0.810175838108923,0.7054755591720352,0.0,0.0016697315186449844,0.27323194017967006,-0.7807871262537702
1713795787.6516607,5.3674840789551395,0.4463954430063666,1.9099874312758434,1.5100183696737672,5.419999033175065,5.39000193364987,-0.8102345612635579,0.6510889888448382,0.0,0.014017921496230934,0.2813722174315955,-0.7870120446431628
1713795787.6716607,5.369007345897098,0.4613293473369985,1.9277775577884473,1.49913593690706,5.4269134946955075,5.389012357900642,-0.8101774885916541,0.6529981877448399,0.0,0.01576013778060314,0.28951249468352097,-0.7932369630325553
1713795787.6916606,5.370532196069482,0.47626258300198326,1.945572510447529,1.488261243615399,5.433833754062928,5.388023749419581,-0.8098274296953407,0.6797219758206082,0.0,0.018548225682539943,0.2976527719354464,-0.7994618814219479
1713795787.7116606,5.372057046241865,0.49119581866696804,1.9633674631066107,1.4773865503237378,5.4407540134303485,5.387035140938521,-0.8095172432357124,0.7347655866423752,0.0,0.015578621444822882,0.3057930491873719,-0.8056867998113404
1713795787.7316606,5.373581896414249,0.5061290543319528,1.9811624157656924,1.4665118570320768,5.447674272797769,5.386046532457462,-0.8094502849775137,0.7297181880192957,0.0,0.007787354347435305,0.31393332643929733,-0.8119117182007329
1713795787.7516606,5.375106746586632,0.5210622899969376,1.9989573684247741,1.4556371637404157,5.45459453216519,5.385057923976401,-0.8095317673596861,0.7213071382037045,0.0,0.01020425092065256,0.3220736036912228,-0.8181366365901255
1713795787.7716606,5.376631596759016,0.5359955256619223,2.016752321083856,1.4447624704487545,5.461514791532611,5.384069315495341,-0.8093860414103967,0.699350396102455,0.0,0.014958352271304407,0.33021388094314824,-0.824361554979518
