,time,x,y,yaw,v_x,v_y,w,a_x,a_y
93,1713795736.8655255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1713795736.868,0.0,0.0,-2.298194840382335,0.0,0.0,0.0,-0.074842631816864,-0.351947546005249
95,1713795736.8854983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1713795736.888,0.0,0.0,-2.298221646309155,0.0,0.0,0.0,-0.0796310603618621,-0.4165909886360168
97,1713795736.9054298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1713795736.908,0.0,0.0,-2.2982450623503032,0.0,0.0,0.0,-0.0293528139591217,-0.4285620450973511
99,1713795736.925466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1713795736.931,0.0,0.0,-2.298270332378663,0.0,0.0,0.0,0.0712036490440368,-0.4094083905220032
101,1713795736.9454608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1713795736.951,0.0,0.0,-2.298315363567948,0.0,0.0,0.0,0.0400790274143219,-0.3663127720355987
103,1713795736.965516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1713795736.971,0.0,0.0,-2.298360121564273,0.0,0.0,0.0,0.0831746757030487,-0.361524373292923
105,1713795736.9854684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1713795736.992,0.0,0.0,-2.298440781379463,0.0,0.0,0.0,0.097539871931076,-0.3280055522918701
107,1713795737.00549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1713795737.012,0.0,0.0,-2.2985043138395547,0.0,0.0,0.0,0.0783862769603729,-0.2609679102897644
109,1713795737.0254424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1713795737.035,0.0,0.0,-2.2985591313732243,0.0,0.0,0.0,0.066415250301361,-0.2106896638870239
111,1713795737.045791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1713795737.047,0.0,0.0,-2.298582375801951,0.0,0.0,0.0,0.0161370337009429,-0.2418142855167389
113,1713795737.0497684,-0.2912320252800622,-0.0116959442369258,0.0,0.0,0.0,0.0,0.0,0.0
114,1713795737.0654864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1713795737.068,0.0,0.0,-2.2986200135309285,0.0,0.0,0.0,-0.103573054075241,-0.2561795115470886
116,1713795737.085484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1713795737.088,0.0,0.0,-2.2986607894266498,0.0,0.0,0.0,-0.0461122393608093,-0.3112461566925049
118,1713795737.1054833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1713795737.108,0.0,0.0,-2.2986991142307303,0.0,0.0,0.0,-0.0317470133304595,-0.3878605961799621
120,1713795737.1254616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1713795737.129,0.0,0.0,-2.2987423892246426,0.0,0.0,0.0,-0.0317470133304595,-0.4333504438400268
122,1713795737.1454637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1713795737.15,0.0,0.0,-2.298765965432422,0.0,0.0,0.0,0.0328964293003082,-0.3998315930366516
124,1713795737.1654823,0.0,0.0,0.0,0.0004203555580398,0.0,0.0002224103632457,0.0,0.0
125,1713795737.172,0.0,0.0,-2.298785812219348,0.0,0.0,0.0,0.3178064525127411,-0.3830721974372864
126,1713795737.185509,0.0,0.0,0.0,0.0059429894140225,0.0,-0.0002222468039583,0.0,0.0
127,1713795737.192,0.0,0.0,-2.298633874912237,0.0,0.0,0.0,0.4662469327449798,-0.7541734576225281
128,1713795737.2054904,0.0,0.0,0.0,0.0141854580532783,0.0,0.0004462424948843,0.0,0.0
129,1713795737.216,0.0,0.0,-2.2976136641831846,0.0,0.0,0.0,2.0416316986083984,-0.6607995629310608
130,1713795737.2254643,0.0,0.0,0.0,0.021467995101036,0.0,-0.0006683174767157,0.0,0.0
131,1713795737.23,0.0,0.0,-2.297019492742546,0.0,0.0,0.0,2.2810518741607666,0.3471593260765075
132,1713795737.2454717,0.0,0.0,0.0,0.0303007215775125,0.0,-0.0004457733662472,0.0,0.0
133,1713795737.252603,-0.2743137514275855,-0.0058928773998165,0.0,0.0,0.0,0.0,0.0,0.0
134,1713795737.253,0.0,0.0,-2.297085870302386,0.0,0.0,0.0,0.6769367456436157,0.1173159629106521
135,1713795737.2654817,0.0,0.0,0.0,0.0385614456877618,0.0,0.0001105039830327,0.0,0.0
136,1713795737.273,0.0,0.0,-2.2978759694443736,0.0,0.0,0.0,-0.5872018337249756,-0.1675940304994583
137,1713795737.2853856,0.0,0.0,0.0,0.0385614456877618,0.0,0.0001105039830327,0.0,0.0
138,1713795737.293,0.0,0.0,-2.2986833322536606,0.0,0.0,0.0,-0.5919902324676514,-0.2513911128044128
139,1713795737.3054302,0.0,0.0,0.0,0.0449787787103496,0.0,-0.0065533973345768,0.0,0.0
140,1713795737.317,0.0,0.0,-2.299555146145924,0.0,0.0,0.0,-0.7547959089279175,-0.5410894751548767
141,1713795737.325459,0.0,0.0,0.0,0.0478898178945842,0.0,-0.0115551853800174,0.0,0.0
142,1713795737.329,0.0,0.0,-2.299922741745057,0.0,0.0,0.0,-1.0397058725357056,-0.5434836745262146
143,1713795737.3455296,0.0,0.0,0.0,0.0501958423416156,0.0,-0.0114442682929653,0.0,0.0
144,1713795737.35,0.0,0.0,-2.3003535078615363,0.0,0.0,0.0,-0.86492919921875,-0.330399751663208
145,1713795737.3654904,0.0,0.0,0.0,0.0520941813919224,0.0,-0.0111090325730983,0.0,0.0
146,1713795737.37,0.0,0.0,-2.300785718309655,0.0,0.0,0.0,-1.2575782537460327,-0.2777273058891296
147,1713795737.3855245,0.0,0.0,0.0,0.050802003790105,0.0,-0.0105532482893158,0.0,0.0
148,1713795737.392,0.0,0.0,-2.3012989657240883,0.0,0.0,0.0,-0.501010537147522,-0.6584053635597229
149,1713795737.4054706,0.0,0.0,0.0,0.0501535200646681,0.0,-0.0116681756658592,0.0,0.0
150,1713795737.413,0.0,0.0,-2.301192919772265,0.0,0.0,0.0,-0.5057989358901978,-0.5985503196716309
151,1713795737.4254377,0.0,0.0,0.0,0.0428709830169104,0.0,-0.0105536156942591,0.0,0.0
152,1713795737.437,0.0,0.0,-2.3002933391768434,0.0,0.0,0.0,0.3393542468547821,0.2442086488008499
153,1713795737.4454715,0.0,0.0,0.0,0.041269037425972,0.0,-0.012220765075193,0.0,0.0
154,1713795737.45,0.0,0.0,-2.299822667117508,0.0,0.0,0.0,2.4989242553710938,-0.5674257278442383
155,1713795737.455513,-0.2401813840381645,-0.0461644985504751,0.0,0.0,0.0,0.0,0.0,0.0
156,1713795737.465474,0.0,0.0,0.0,0.0404606485173962,0.0,-0.0101059536663425,0.0,0.0
157,1713795737.473,0.0,0.0,-2.298817968986171,0.0,0.0,0.0,2.946640014648437,-0.4237736463546753
158,1713795737.4854708,0.0,0.0,0.0,0.0539573198191573,0.0,-0.0117759198776803,0.0,0.0
159,1713795737.495,0.0,0.0,-2.2978680278977324,0.0,0.0,0.0,3.41829776763916,-0.4932054877281189
160,1713795737.5054822,0.0,0.0,0.0,0.0719299055124653,0.0,-0.002887068224313,0.0,0.0
161,1713795737.507,0.0,0.0,-2.2974793016738286,0.0,0.0,0.0,3.875590324401856,0.3782839775085449
162,1713795737.525459,0.0,0.0,0.0,0.1004613115036693,0.0,0.0013346543023924,0.0,0.0
163,1713795737.53,0.0,0.0,-2.297621085745619,0.0,0.0,0.0,4.450198650360107,0.0407015085220336
164,1713795737.5454435,0.0,0.0,0.0,0.1334067633030736,0.0,0.0018921489340658,0.0,0.0
165,1713795737.551,0.0,0.0,-2.298504234743349,0.0,0.0,0.0,2.6377878189086914,-0.2274490743875503
166,1713795737.5654893,0.0,0.0,0.0,0.1700990764791652,0.0,-0.0009977180893907,0.0,0.0
167,1713795737.573,0.0,0.0,-2.2996253212348847,0.0,0.0,0.0,0.7607337236404419,-1.1540051698684692
168,1713795737.5854592,0.0,0.0,0.0,0.1658686202249999,0.0,-0.0011088452059691,0.0,0.0
169,1713795737.595,0.0,0.0,-2.299944626992183,0.0,0.0,0.0,-0.1299092769622802,-0.6655879616737366
170,1713795737.6055152,0.0,0.0,0.0,0.200322631798384,0.0,0.0023346067630969,0.0,0.0
171,1713795737.609,0.0,0.0,-2.299819025225176,0.0,0.0,0.0,0.4327281415462494,-0.5075706839561462
172,1713795737.625487,0.0,0.0,0.0,0.2477539491711592,0.0,0.0032263723901763,0.0,0.0
173,1713795737.629,0.0,0.0,-2.299897156417831,0.0,0.0,0.0,-0.0987846553325653,-0.2154780626296997
174,1713795737.6455524,0.0,0.0,0.0,0.2920184658770848,0.0,0.0018971848443104,0.0,0.0
175,1713795737.64949,-0.2457733770269659,-0.0513676379639036,0.0,0.0,0.0,0.0,0.0,0.0
176,1713795737.65,0.0,0.0,-2.3001239839641228,0.0,0.0,0.0,0.485400527715683,-0.3591301739215851
177,1713795737.6654923,0.0,0.0,0.0,0.3345157056090508,0.0,-0.0002156846356422,0.0,0.0
178,1713795737.67,0.0,0.0,-2.3002467345900044,0.0,0.0,0.0,1.4167450666427612,-0.2202664762735366
179,1713795737.685478,0.0,0.0,0.0,0.370011508390819,0.0,0.0066896240734056,0.0,0.0
180,1713795737.692,0.0,0.0,-2.3000046185155365,0.0,0.0,0.0,1.3592841625213623,-0.2585737109184265
181,1713795737.7054253,0.0,0.0,0.0,0.3456215896749232,0.0,0.0044646737376479,0.0,0.0
182,1713795737.713,0.0,0.0,-2.299823887443325,0.0,0.0,0.0,1.7567217350006104,0.2130840271711349
183,1713795737.7254696,0.0,0.0,0.0,0.3682166932672074,0.0,-8.635481466002307e-05,0.0,0.0
184,1713795737.739,0.0,0.0,-2.3001784678333745,0.0,0.0,0.0,2.44625186920166,-0.87627774477005
185,1713795737.745505,0.0,0.0,0.0,0.3884665872831624,0.0,0.0059120081129809,0.0,0.0
186,1713795737.751,0.0,0.0,-2.300271404804572,0.0,0.0,0.0,1.8405187129974363,-0.778115451335907
187,1713795737.7655206,0.0,0.0,0.0,0.4110794270270148,0.0,0.0011257017112118,0.0,0.0
188,1713795737.772,0.0,0.0,-2.30012238056581,0.0,0.0,0.0,0.2244325578212738,-0.4644750356674194
189,1713795737.7855113,0.0,0.0,0.0,0.4725978377225591,0.0,0.0084756064771552,0.0,0.0
190,1713795737.793,0.0,0.0,-2.3001261311229824,0.0,0.0,0.0,0.5668034553527832,-0.5698199272155762
191,1713795737.805493,0.0,0.0,0.0,0.4932700634071992,0.0,-0.0004262845974705,0.0,0.0
192,1713795737.815,0.0,0.0,-2.3003520626734577,0.0,0.0,0.0,0.2675282061100006,-0.3567359745502472
193,1713795737.8255155,0.0,0.0,0.0,0.5139542072697035,0.0,-9.504211028056772e-05,0.0,0.0
194,1713795737.828,0.0,0.0,-2.300347667621347,0.0,0.0,0.0,0.5859570503234863,-0.1556230336427688
195,1713795737.845521,0.0,0.0,0.0,0.5312028555726505,0.0,0.0004532180586376,0.0,0.0
196,1713795737.849,0.0,0.0,-2.3002207468526734,0.0,0.0,0.0,1.3832262754440308,0.0790087431669235
197,1713795737.851844,-0.2107934977861316,-0.0471652056660622,0.0,0.0,0.0,0.0,0.0,0.0
198,1713795737.8654468,0.0,0.0,0.0,0.481253280639011,0.0,-0.00010500121954,0.0,0.0
199,1713795737.871,0.0,0.0,-2.300315639354435,0.0,0.0,0.0,0.669754147529602,-0.739808201789856
200,1713795737.8855386,0.0,0.0,0.0,0.4989136971610138,0.0,-2.196486826252092e-05,0.0,0.0
201,1713795737.894,0.0,0.0,-2.300611086716472,0.0,0.0,0.0,0.7272149324417114,-1.134851574897766
202,1713795737.905551,0.0,0.0,0.0,0.5700083556548842,0.0,-0.0023580224670171,0.0,0.0
203,1713795737.916,0.0,0.0,-2.300693026688501,0.0,0.0,0.0,0.2507688105106354,-0.4596866369247436
204,1713795737.9255,0.0,0.0,0.0,0.5837352442138657,0.0,0.0108962938510364,0.0,0.0
205,1713795737.928,0.0,0.0,-2.3008895411318853,0.0,0.0,0.0,0.3728730976581573,-0.2346316874027252
206,1713795737.9455175,0.0,0.0,0.0,0.6072662750948765,0.0,-0.0035554224783186,0.0,0.0
207,1713795737.95,0.0,0.0,-2.3007806720377397,0.0,0.0,0.0,-0.2352541536092758,0.0191536992788314
208,1713795737.9654937,0.0,0.0,0.0,0.6147297081060619,0.0,-0.000448830446822,0.0,0.0
209,1713795737.97,0.0,0.0,-2.30068251902282,0.0,0.0,0.0,-0.6087496280670166,0.0598551332950592
210,1713795737.985561,0.0,0.0,0.0,0.6229409695027119,0.0,-0.005801943006516,0.0,0.0
211,1713795737.993,0.0,0.0,-2.300717237499548,0.0,0.0,0.0,-0.886476993560791,-0.2537853121757507
212,1713795738.005551,0.0,0.0,0.0,0.6295291712082617,0.0,0.0071189050047485,0.0,0.0
213,1713795738.013,0.0,0.0,-2.300843817439476,0.0,0.0,0.0,-0.3813004493713379,-0.3591301739215851
214,1713795738.0254724,0.0,0.0,0.0,0.5614137099729822,0.0,0.0058958968904792,0.0,0.0
215,1713795738.033,0.0,0.0,-2.300847451668432,0.0,0.0,0.0,0.1861253678798675,-0.7900864481925964
216,1713795738.0454404,-0.0856921728652607,-0.056671824869772,0.0,0.0,0.0,0.0,0.0,0.0
217,1713795738.0454636,0.0,0.0,0.0,0.4926697640785715,0.0,0.0081214295378923,0.0,0.0
218,1713795738.056,0.0,0.0,-2.3006462393782785,0.0,0.0,0.0,0.1238761246204376,-0.5650315284729004
219,1713795738.065436,0.0,0.0,0.0,0.4926697640785715,0.0,0.0081214295378923,0.0,0.0
220,1713795738.067,0.0,0.0,-2.3005830145544746,0.0,0.0,0.0,0.4518817365169525,-0.5865793228149414
221,1713795738.0854778,0.0,0.0,0.0,0.631548385113396,0.0,-0.0061944894572054,0.0,0.0
222,1713795738.089,0.0,0.0,-2.3003460178541086,0.0,0.0,0.0,0.1741543114185333,-0.9337385892868042
223,1713795738.1054974,0.0,0.0,0.0,0.6305905604510587,0.0,0.0068170511129984,0.0,0.0
224,1713795738.111,0.0,0.0,-2.2996746867427604,0.0,0.0,0.0,0.9259337186813354,-0.0047883242368698
225,1713795738.1254692,0.0,0.0,0.0,0.6361108034318704,0.0,-0.0016636057771359,0.0,0.0
226,1713795738.133,0.0,0.0,-2.298830446260228,0.0,0.0,0.0,0.9331163167953492,0.0670377314090728
227,1713795738.1454587,0.0,0.0,0.0,0.6261185969403138,0.0,0.011244428990111,0.0,0.0
228,1713795738.147,0.0,0.0,-2.29873601661548,0.0,0.0,0.0,0.5237077474594116,0.2322376519441604
229,1713795738.1654854,0.0,0.0,0.0,0.6306255853120024,0.0,0.0225931439242278,0.0,0.0
230,1713795738.169,0.0,0.0,-2.2990927581998992,0.0,0.0,0.0,0.0879630744457244,-0.4141967892646789
