,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
5972,1713795797.4454868,1.5163724674960104,1.4350589923619483,0.6709054645820378,-0.3812027500539379,0.027203342602745376,-0.0073556732594961816,-0.01529799568314497,0.0012359084739854214,-0.0030900441940766915
5973,1713795797.457,1.5075926867085063,1.435685551439615,0.670563915998047,-0.3815550103504125,0.02723179756171053,-0.007431448825844469,-0.01529799688183963,0.0012359055861104272,-0.003093957062895752
5974,1713795797.4654458,1.501146579544469,1.436145624622894,0.6704606409863231,-0.3818133906075422,0.027252673181890306,-0.005926811761352545,-0.015297990824488926,0.0012359054310969295,-0.0017054832254073343
5975,1713795797.471,1.4969047713813814,1.4364483941220627,0.6702638630776304,-0.3819833289305695,0.027266397249138697,-0.005948451132040822,-0.01529799251287178,0.0012359016047056005,-0.001707819772435481
5976,1713795797.485495,1.4858277711071493,1.4372391136391693,0.6701781804344098,-0.38242679571592075,0.027302225702147163,-0.0010305042316256594,-0.015297986329541354,0.0012359014469510194,0.002770287962087662
5977,1713795797.495,1.4785566126159166,1.4377582283174708,0.6702265932039769,-0.38271760374624963,0.02732571731966842,-0.0009759452587225472,-0.015297986003815763,0.0012358996143453087,0.0027718272917288647
5978,1713795797.5055065,1.470512793305726,1.4383325667918754,0.6702416814883001,-0.3830390377237291,0.0273516869197995,0.0012438411094652631,-0.015297979727086387,0.0012358994538360483,0.004732394374162243
5979,1713795797.519,1.4601729059679356,1.4390709314645602,0.6704853723518305,-0.3834518821243479,0.027385035213458288,0.0013780343094338169,-0.015297977173887763,0.0012358956151150937,0.004737878636747794
5980,1713795797.5255048,1.4551837373681824,1.4394272503219225,0.6705298525191289,-0.38365087496476175,0.027401112964167865,0.0033407413018228796,-0.015297970827222635,0.0012358954518341902,0.006468323434255749
5981,1713795797.5454662,1.4398612738748164,1.440521669186808,0.6707847197981947,-0.384261581848502,0.027450452561691437,0.008148542071475352,-0.01529796383117293,0.0012358952857686309,0.011464102065866118
5982,1713795797.553,1.4340705134848328,1.4409353502007793,0.6717071790332744,-0.38449208709569727,0.02746907260839076,0.008340532993645091,-0.015297965327236086,0.0012358938591600294,0.011480340596957314
